Date,Open,High,Low,Close,Volume,NASDAQ,Change
07-07-2015,31.4725,31.5375,30.942499,31.422501,187787200,4429.060059,-0.077499
08-07-2015,31.120001,31.16,30.635,30.6425,243046400,4351.580078,-0.780001
09-07-2015,30.9625,31.014999,29.805,30.0175,314380000,4352.029785,-0.625
10-07-2015,30.485001,30.9625,30.3025,30.82,245418000,4420.149902,0.8025
13-07-2015,31.2575,31.440001,31.08,31.415001,165762000,4494.470215,0.595001
14-07-2015,31.51,31.592501,31.26,31.4025,127072400,4523.470215,-0.012501
15-07-2015,31.43,31.7875,31.395,31.705,134596800,4528.359863,0.3025
16-07-2015,31.934999,32.142502,31.8375,32.127499,144889600,4594.899902,0.422499
17-07-2015,32.27,32.404999,32.077499,32.404999,184658800,4661.600098,0.2775
20-07-2015,32.7425,33.2425,32.674999,33.017502,235600800,4679.680176,0.612503
21-07-2015,33.212502,33.23,32.580002,32.6875,307025600,4674.410156,-0.330002
22-07-2015,30.497499,31.375,30.497499,31.305,461802400,4623.240234,-1.3825
23-07-2015,31.549999,31.772499,31.264999,31.290001,203998000,4602.830078,-0.014999
24-07-2015,31.33,31.434999,30.975,31.125,168649200,4557.370117,-0.165001
27-07-2015,30.772499,30.9025,30.530001,30.692499,177822000,4519.089844,-0.432501
28-07-2015,30.844999,30.977501,30.637501,30.844999,134472400,4560.22998,0.1525
29-07-2015,30.7875,30.875,30.567499,30.747499,148046800,4581.600098,-0.0975
30-07-2015,30.58,30.6425,30.4275,30.592501,134513200,4598.589844,-0.154998
31-07-2015,30.65,30.66,30.227501,30.325001,171540000,4588.910156,-0.2675
03-08-2015,30.375,30.6425,29.379999,29.610001,279904000,4580.459961,-0.715
04-08-2015,29.355,29.424999,28.3125,28.66,496554400,4567.470215,-0.950001
05-08-2015,28.237499,29.360001,28.025,28.85,397250400,4602.240234,0.19
06-08-2015,28.9925,29.125,28.530001,28.782499,211612000,4528.509766,-0.067501
07-08-2015,28.645,29.0625,28.625,28.879999,154681600,4520.080078,0.0975
10-08-2015,29.1325,29.997499,29.1325,29.93,219806400,4573.109863,1.050001
11-08-2015,29.452499,29.545,28.3325,28.372499,388331200,4513.990234,-1.557501
12-08-2015,28.1325,28.855,27.407499,28.809999,404870000,4528.189941,0.4375
13-08-2015,29.01,29.1,28.635,28.7875,194143200,4519.319824,-0.022499
14-08-2015,28.58,29.077499,28.502501,28.99,171718000,4530.740234,0.2025
17-08-2015,29.01,29.4125,28.875,29.290001,163538800,4566.370117,0.300001
18-08-2015,29.1075,29.360001,29.002501,29.125,138242800,4542.069824,-0.165001
19-08-2015,29.025,29.129999,28.67,28.752501,193146000,4510.899902,-0.372499
20-08-2015,28.52,28.5875,27.907499,28.1625,274006400,4385.129883,-0.590001
21-08-2015,27.6075,27.975,26.4125,26.440001,513102000,4197.27002,-1.722499
24-08-2015,23.717501,27.200001,23,25.780001,648825200,4038.600098,-0.66
25-08-2015,27.7775,27.7775,25.875,25.934999,414406400,4016.320068,0.154998
26-08-2015,26.772499,27.4725,26.262501,27.422501,387098400,4219.600098,1.487502
27-08-2015,28.057501,28.309999,27.504999,28.23,338464400,4324.819824,0.807499
28-08-2015,28.0425,28.327499,27.885,28.3225,212657600,4329.120117,0.0925
31-08-2015,28.0075,28.6325,28,28.190001,224917200,4274.580078,-0.132499
01-09-2015,27.5375,27.969999,26.84,26.93,307383600,4142.629883,-1.260001
02-09-2015,27.557501,28.084999,27.282499,28.084999,247555200,4256.22998,1.154999
03-09-2015,28.122499,28.195,27.51,27.592501,212935600,4234.649902,-0.492498
04-09-2015,27.2425,27.612499,27.127501,27.317499,199985200,4184.720215,-0.275002
08-09-2015,27.9375,28.139999,27.58,28.077499,219374400,4303.529785,0.76
09-09-2015,28.440001,28.504999,27.442499,27.5375,340043200,4253.450195,-0.539999
10-09-2015,27.567499,28.32,27.475,28.1425,251571200,4296.299805,0.605
11-09-2015,27.9475,28.5525,27.940001,28.5525,199662000,4323.22998,0.41
