Date,Open,High,Low,Close,Volume,Day of the week,Change,NASDAQ
16-04-2015,82.470001,83.07,82.150002,82.309998,13769700,5,-1.529999,4418.830078
17-04-2015,81.480003,82.110001,80.370003,80.779999,24215000,6,2.309997,4351.799805
20-04-2015,81.540001,83.150002,81.239998,83.089996,28796800,2,0.530007,4417.399902
21-04-2015,84,84.489998,83.540001,83.620003,27171900,3,1.009994,4435.97998
22-04-2015,84.32,84.739998,83.650002,84.629997,45548000,4,-2.219993,4460.810059
23-04-2015,84.099998,85.589996,82.410004,82.410004,73728100,5,-0.880005,4477.069824
24-04-2015,82.769997,82.940002,81.480003,81.529999,29660400,6,0.380005,4536.779785
27-04-2015,81.870003,82.93,81.629997,81.910004,25446000,2,-1.230004,4525.040039
28-04-2015,81.830002,81.900002,80.230003,80.68,23775300,3,-0.209999,4515.27002
29-04-2015,80.010002,81.389999,79.519997,80.470001,26430300,4,-1.700004,4488.149902
30-04-2015,80.010002,80.959999,78.32,78.769997,28999000,5,0.220001,4414.25
01-05-2015,79.239998,79.760002,78.110001,78.989998,24136400,6,-0.18,4479.060059
04-05-2015,79.330002,79.690002,78.629997,78.809998,14692000,2,-1.25,4482.609863
05-05-2015,78.550003,78.800003,77.220001,77.559998,22311300,3,0.54,4409.390137
06-05-2015,77.970001,78.809998,77.050003,78.099998,28663000,4,0.330002,4379.75
07-05-2015,78,78.940002,77.559998,78.43,19749400,5,0.080002,4401.549805
08-05-2015,79.099998,79.230003,78.029999,78.510002,19943600,6,-0.5,4458.649902
11-05-2015,78.480003,79.029999,77.93,78.010002,18874100,2,-0.550003,4438.640137
12-05-2015,77.870003,77.889999,76.790001,77.459999,21285300,3,0.980003,4420.649902
13-05-2015,77.720001,78.529999,77.650002,78.440002,21512300,4,2.930001,4426.560059
14-05-2015,78.940002,81.849998,78.669998,81.370003,49438000,5,-0.950005,4495.040039
15-05-2015,81.410004,81.519997,80.18,80.419998,27069900,6,0.459999,4494.290039
18-05-2015,80.330002,81.379997,80.230003,80.879997,21613700,2,-0.25,4512.950195
19-05-2015,81.25,81.690002,80.550003,80.629997,17955400,3,-0.079994,4503.720215
20-05-2015,80.470001,81.099998,79.459999,80.550003,23056900,4,-0.07,4505.299805
21-05-2015,80.190002,80.919998,80.080002,80.480003,13402700,5,0.059998,4529.470215
22-05-2015,80.349998,81.309998,80.25,80.540001,19567900,6,-1.209999,4527.160156
26-05-2015,80.43,80.599998,79.080002,79.330002,16321300,3,1.220001,4472.959961
27-05-2015,79.599998,80.660004,79.43,80.550003,14160900,4,-0.400001,4546.060059
28-05-2015,80.25,81.07,80,80.150002,11982000,5,-0.96,4535.660156
29-05-2015,79.949997,80.07,78.879997,79.190002,16134600,6,1.099999,4508.25
01-06-2015,79.300003,80.379997,78.660004,80.290001,18119000,2,0.150001,4521.850098
02-06-2015,79.760002,81.349998,79.559998,80.440002,18923300,3,2,4508.890137
03-06-2015,81.349998,82.529999,81.25,82.440002,31775000,4,-0.389999,4519.859863
04-06-2015,82.139999,82.949997,81.510002,82.050003,20863900,5,0.089996,4487.029785
05-06-2015,81.870003,82.459999,81.510002,82.139999,16143100,6,-1.470001,4477.189941
08-06-2015,81.82,82,80.129997,80.669998,16915500,2,0,4431.509766
09-06-2015,80.599998,81.190002,79.32,80.669998,16497500,3,1.490006,4427.609863
10-06-2015,80.830002,82.599998,80.809998,82.160004,21531200,4,-0.330002,4485.459961
11-06-2015,82.309998,82.900002,81.360001,81.830002,18656800,5,-0.300003,4488.470215
12-06-2015,81.370003,82.089996,81.199997,81.529999,11417900,6,-0.82,4453.790039
15-06-2015,80.550003,80.93,80.07,80.709999,18805100,2,0.349999,4432.919922
16-06-2015,80.82,81.510002,80.449997,81.059998,13693700,3,0.730003,4455.899902
17-06-2015,81.760002,82.220001,81.339996,81.790001,18350300,4,1.120003,4468.97998
18-06-2015,81.639999,83.190002,81.57,82.910004,26782600,5,-0.400002,4531.850098
19-06-2015,82.830002,82.980003,82.120003,82.510002,23353200,6,2.229996,4513.419922
22-06-2015,83.410004,84.970001,83.309998,84.739998,29383100,2,3.139999,4544.040039
23-06-2015,84.959999,87.970001,84.760002,87.879997,50667900,3,0.980004,4548.740234
24-06-2015,87.660004,89.25,87.449997,88.860001,41370200,4,-0.879998,4524.600098
25-06-2015,89.260002,89.400002,87.839996,87.980003,27302000,5,0.029999,4514.009766
26-06-2015,88.120003,88.339996,86.830002,88.010002,38214600,6,-2.209999,4484.279785
29-06-2015,86.610001,87.5,85.730003,85.800003,35957900,2,-0.030006,4379.870117
30-06-2015,86.599998,86.699997,85.57,85.769997,23016500,3,1.140007,4396.759766
01-07-2015,86.769997,87.949997,86.489998,86.910004,25260000,4,0.379997,4429.22998
02-07-2015,87.400002,87.440002,86.339996,87.290001,16908800,5,0.260002,4433.390137
06-07-2015,86.489998,88.190002,86.389999,87.550003,24635900,2,-0.330002,4418.660156
07-07-2015,87.800003,87.849998,85.230003,87.220001,33059900,3,-1.569999,4429.060059
08-07-2015,86.290001,86.75,85.449997,85.650002,24399300,4,0.229995,4351.580078
