Date,Open,High,Low,Close,Volume,Day of the week,Change,NASDAQ
22-10-2014,15.7715,15.949,15.632,15.6485,62518000,4,-0.118,3949.590088
23-10-2014,15.67,15.84,15.57,15.659,180764000,5,0.0105,4012.27002
24-10-2014,14.22,14.6905,14.2,14.353,396022000,6,-1.306,4042.02002
27-10-2014,14.285,14.521,14.251,14.4985,119012000,2,0.1455,4046.02002
28-10-2014,14.488,14.9,14.488,14.7795,111452000,3,0.281,4106.629883
29-10-2014,14.9555,14.9805,14.6535,14.706,97638000,4,-0.0735,4090.550049
30-10-2014,14.699,14.987,14.618,14.9535,81104000,5,0.2475,4100.640137
31-10-2014,15.2575,15.286,15.075,15.273,91014000,6,0.3195,4158.209961
03-11-2014,15.312,15.4005,15.162,15.286,64850000,2,0.013,4169.279785
04-11-2014,15.1995,15.2125,15.0085,15.1405,68548000,3,-0.1455,4156.22998
05-11-2014,15.1505,15.2,14.708,14.826,93490000,4,-0.3145,4153.27002
06-11-2014,14.8345,14.85,14.6145,14.832,75162000,5,0.006,4164.080078
07-11-2014,14.891,14.9995,14.8145,14.993,52948000,6,0.161,4160.5
10-11-2014,15,15.29,15,15.2555,56182000,2,0.2625,4175.950195
11-11-2014,15.297,15.619,15.1825,15.6005,76072000,3,0.345,4187.160156
12-11-2014,15.5375,15.629,15.4395,15.5755,43660000,4,-0.025,4195.399902
13-11-2014,15.6,15.8945,15.5755,15.824,73728000,5,0.2485,4213.47998
14-11-2014,15.856,16.643999,15.82,16.391001,177556000,6,0.567001,4224.990234
17-11-2014,16.322001,16.4,15.9015,16.1525,95698000,2,-0.238501,4213.790039
18-11-2014,16.199499,16.478001,16.1625,16.2465,70990000,3,0.094,4242.189941
19-11-2014,16.362499,16.42,16.201,16.327,65632000,4,0.0805,4222.660156
20-11-2014,16.200001,16.633499,16.1665,16.527,68734000,5,0.2,4242.089844
21-11-2014,16.771,16.9165,16.5735,16.6315,89332000,6,0.1045,4251.319824
24-11-2014,16.739,16.869499,16.68,16.782,55084000,2,0.1505,4284.319824
25-11-2014,16.7635,16.8165,16.563999,16.752001,51300000,3,-0.029999,4288.22998
26-11-2014,16.688999,16.7325,16.5875,16.678499,39672000,4,-0.073502,4317.990234
28-11-2014,16.8015,17.063,16.8015,16.931999,61036000,6,0.2535,4337.790039
01-12-2014,16.906,17.032,16.296499,16.299999,98898000,2,-0.632,4287.810059
02-12-2014,16.375,16.3965,16.1625,16.3155,55806000,3,0.015501,4305.959961
03-12-2014,16.286501,16.338499,15.718,15.825,113620000,4,-0.4905,4312.930176
04-12-2014,15.7765,15.9295,15.6735,15.8465,65806000,5,0.0215,4311.930176
05-12-2014,15.84,15.8465,15.542,15.6315,65304000,6,-0.215,4311.569824
08-12-2014,15.5785,15.828,15.241,15.332,72784000,2,-0.2995,4278.339844
09-12-2014,15.1495,15.682,15.057,15.625,80990000,3,0.293,4294.669922
10-12-2014,15.6,15.6595,15.234,15.292,64918000,4,-0.333,4224.870117
11-12-2014,15.3945,15.632,15.3005,15.368,65258000,5,0.076,4246.47998
12-12-2014,15.1995,15.532,15.1505,15.366,63070000,6,-0.002,4199.279785
15-12-2014,15.4435,15.543,15.1075,15.3035,76832000,2,-0.0625,4157.410156
16-12-2014,15.2175,15.2245,14.7505,14.753,130026000,3,-0.5505,4089.600098
17-12-2014,14.8185,14.9835,14.6515,14.944,88670000,4,0.191,4165.100098
18-12-2014,15.2005,15.225,14.6625,14.8865,154762000,5,-0.0575,4267.77002
19-12-2014,14.8455,15.077,14.776,14.995,174182000,6,0.1085,4281.779785
22-12-2014,15.097,15.368,15.097,15.327,80076000,2,0.332,4293.669922
23-12-2014,15.349,15.3745,15.1625,15.3145,54274000,3,-0.0125,4279.299805
24-12-2014,15.319,15.35,15.144,15.1515,30276000,4,-0.163,4283.100098
26-12-2014,15.25,15.539,15.1905,15.4545,57876000,6,0.303,4314.089844
29-12-2014,15.3925,15.7135,15.329,15.602,60180000,2,0.1475,4312.640137
30-12-2014,15.4955,15.697,15.467,15.515,41860000,3,-0.087,4282.350098
31-12-2014,15.5775,15.649,15.5005,15.5175,40960000,4,0.0025,4236.279785
02-01-2015,15.629,15.7375,15.348,15.426,55664000,6,-0.0915,4230.240234
05-01-2015,15.3505,15.419,15.0425,15.1095,55484000,2,-0.3165,4160.959961
06-01-2015,15.112,15.15,14.619,14.7645,70380000,3,-0.345,4110.830078
07-01-2015,14.875,15.064,14.7665,14.921,52806000,4,0.1565,4160
08-01-2015,15.016,15.157,14.8055,15.023,61768000,5,0.102,4240.549805
09-01-2015,15.074,15.1435,14.834,14.8465,51848000,6,-0.1765,4213.279785
12-01-2015,14.878,14.9255,14.464,14.5705,68428000,2,-0.276,4169.970215
13-01-2015,14.874,15.075,14.6615,14.737,82728000,3,0.1665,4166.200195
14-01-2015,14.5965,14.7955,14.325,14.6635,110774000,4,-0.0735,4145.839844
15-01-2015,14.7,14.8,14.341,14.3475,88384000,5,-0.316,4089.649902
16-01-2015,14.314,14.5395,14.2625,14.537,69564000,6,0.1895,4142.140137
20-01-2015,14.6295,14.668,14.3195,14.472,61502000,3,-0.065,4171.209961
21-01-2015,14.482,15.3,14.363,14.8625,201302000,4,0.3905,4192.089844
22-01-2015,15,15.6125,15,15.516,107252000,5,0.6535,4270.359863
23-01-2015,15.404,15.8465,15.386,15.6195,89928000,6,0.1035,4278.140137
26-01-2015,15.591,15.65,15.376,15.483,63394000,2,-0.1365,4275.720215
27-01-2015,15.315,15.512,15.1315,15.3375,58406000,3,-0.1455,4165.5
28-01-2015,15.4905,15.5755,15.19,15.1955,61276000,4,-0.142,4140.379883
29-01-2015,15.2365,15.64,14.9665,15.589,173132000,5,0.3935,4181.350098
30-01-2015,17.316,17.975,17.037001,17.7265,477122000,6,2.1375,4148.430176
02-02-2015,17.502501,18.25,17.5005,18.223499,204638000,2,0.496999,4188.589844
03-02-2015,18.0145,18.391001,18.0105,18.1775,124252000,3,-0.045999,4229.149902
04-02-2015,17.919001,18.375,17.911501,18.237499,83398000,4,0.059999,4221.200195
05-02-2015,18.299999,18.940001,18.295,18.6945,144952000,5,0.457001,4256.180176
06-02-2015,18.7435,18.7995,18.550501,18.714001,77848000,6,0.019501,4228.680176
09-02-2015,18.549999,18.720501,18.360001,18.528,54492000,2,-0.186001,4216.089844
10-02-2015,18.5595,18.715,18.425501,18.65,45744000,3,0.122,4281.160156
11-02-2015,18.561501,18.855,18.555,18.757,55730000,4,0.107,4297.279785
12-02-2015,18.754999,18.925501,18.657499,18.8585,55822000,5,0.1015,4347.970215
13-02-2015,18.9205,19.15,18.8505,19.091499,69502000,6,0.232999,4384.029785
17-02-2015,18.886,18.9995,18.633499,18.7715,73464000,3,-0.319999,4385.339844
18-02-2015,18.688999,18.837,18.6425,18.668501,53012000,4,-0.102999,4390.910156
19-02-2015,18.6745,19.094,18.671499,18.950001,59076000,5,0.2815,4411.859863
20-02-2015,18.931,19.184999,18.792,19.183001,65160000,6,0.233,4443.049805
23-02-2015,19.172001,19.226999,18.9,19.007,43540000,2,-0.176001,4449.490234
24-02-2015,18.932501,19.024,18.808001,18.929501,38416000,3,-0.077499,4451.029785
25-02-2015,18.863501,19.3925,18.827,19.268499,63490000,4,0.338998,4440.589844
26-02-2015,19.203501,19.4685,19.164,19.24,53742000,5,-0.028499,4462.27002
27-02-2015,19.200001,19.2995,18.9895,19.007999,50646000,6,-0.232001,4440.669922
02-03-2015,19.0425,19.295,18.974001,19.283001,42784000,2,0.275002,4483.049805
03-03-2015,19.1975,19.305,19.08,19.230499,38930000,3,-0.052502,4458.779785
04-03-2015,19.2855,19.395,19.109501,19.136,45182000,4,-0.094499,4445.359863
05-03-2015,19.2805,19.421,19.1945,19.3915,53870000,5,0.2555,4452.060059
06-03-2015,19.275999,19.35,18.944,19.004499,52540000,6,-0.387001,4399.22998
09-03-2015,18.92,18.966499,18.764,18.927999,46228000,2,-0.0765,4412.990234
10-03-2015,18.872499,18.8885,18.459,18.4755,62420000,3,-0.452499,4329.080078
11-03-2015,18.5305,18.6675,18.313,18.318501,49902000,4,-0.156999,4305.379883
12-03-2015,18.441,18.775,18.375999,18.712,56200000,5,0.393499,4336.22998
13-03-2015,18.576,18.699499,18.334,18.528999,52234000,6,-0.183001,4314.899902
16-03-2015,18.518999,18.697001,18.336,18.6675,47082000,2,0.138501,4370.470215
17-03-2015,18.5555,18.725,18.482,18.596001,40740000,3,-0.071499,4375.629883
18-03-2015,18.498501,18.7995,18.334999,18.757,53082000,4,0.160999,4422.5
19-03-2015,18.693501,18.855499,18.609501,18.662001,38314000,5,-0.094999,4426.819824
20-03-2015,18.814501,18.9685,18.796,18.9245,75272000,6,0.262499,4458.540039
23-03-2015,18.9035,19.088499,18.747,18.755501,44786000,2,-0.168999,4445.540039
24-03-2015,18.699499,18.761999,18.613501,18.7045,44564000,3,-0.051001,4430.990234
25-03-2015,18.758499,19.025,18.5145,18.548,68590000,4,-0.1565,4329.290039
26-03-2015,18.4795,18.57,18.282499,18.3675,58600000,5,-0.1805,4315.259766
27-03-2015,18.355499,18.658501,18.328501,18.528,52196000,6,0.1605,4332.859863
30-03-2015,18.5935,18.806,18.577499,18.7295,36418000,2,0.2015,4382.819824
31-03-2015,18.662001,18.885,18.5755,18.605,50122000,3,-0.1245,4333.689941
01-04-2015,18.605,18.658001,18.417,18.513,49162000,4,-0.092,4311.259766
02-04-2015,18.525,18.664,18.450001,18.612499,37506000,5,0.099499,4316.009766
06-04-2015,18.504999,19.01,18.468,18.851999,61014000,2,0.2395,4350.97998
07-04-2015,18.807501,18.9655,18.7015,18.720501,39098000,3,-0.131498,4344.080078
08-04-2015,18.733,19.079,18.7325,19.059999,52728000,4,0.339498,4375.959961
09-04-2015,19.033001,19.221001,18.940001,19.177,47846000,5,0.117001,4403.950195
10-04-2015,19.2155,19.356001,19.066,19.1325,51470000,6,-0.0445,4422.02002
13-04-2015,19.1765,19.264,19.007,19.118,37890000,2,-0.0145,4409.209961
14-04-2015,19.175501,19.390499,19.060499,19.255501,51672000,3,0.137501,4397.640137
